"","iteration","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",1,500,40,0.05,0.8,0.8,0.768068379515594
"2",2,500,10,0.1,0.6,0.7,0.734413186792081
"3",3,100,40,0.01,0.6,0.6,0.721199506407579
"4",4,500,10,0.01,0.7,0.7,0.758565445009419
"5",5,100,30,0.1,0.8,0.8,0.755310839987388
"6",6,100,10,0.05,0.6,0.8,0.750886273681313
"7",7,100,20,0.05,0.8,0.6,0.759422509670986
"8",8,500,30,0.01,0.6,0.8,0.758843130758778
"9",9,50,20,0.1,0.7,0.7,0.74651532393203
"10",10,1000,10,0.01,0.8,0.7,0.762889980425956
"11",11,100,40,0.1,0.8,0.8,0.747255552514617
"12",12,100,20,0.1,0.7,0.8,0.751550078664292
"13",13,50,30,0.01,0.6,0.7,0.702006379570011
"14",14,100,30,0.1,0.7,0.6,0.749481439868631
"15",15,500,30,0.1,0.7,0.6,0.756523214368597
"16",16,1000,40,0.01,0.8,0.7,0.76151435563302
"17",17,50,20,0.01,0.7,0.7,0.690510829744225
"18",18,100,10,0.1,0.8,0.8,0.746331267095279
"19",19,1000,30,0.01,0.7,0.8,0.759604165766389
"20",20,50,30,0.1,0.8,0.6,0.744266229411642
"21",21,500,10,0.05,0.7,0.8,0.757248238255973
"22",22,1000,20,0.1,0.6,0.8,0.758002071039537
"23",23,100,30,0.05,0.6,0.6,0.747748904861821
"24",24,500,20,0.01,0.6,0.6,0.756176707367235
"25",25,50,40,0.05,0.8,0.8,0.742268012362217
"26",26,100,40,0.01,0.8,0.7,0.72255672551684
"27",27,500,10,0.05,0.7,0.7,0.742572506389973
"28",28,100,40,0.05,0.7,0.6,0.760081113047709
"29",29,50,10,0.1,0.7,0.6,0.74078635482637
"30",30,500,30,0.1,0.6,0.6,0.756523214368597
"31",31,500,20,0.05,0.7,0.8,0.752589199544819
"32",32,50,20,0.1,0.7,0.8,0.748475129119872
"33",33,1000,30,0.1,0.6,0.8,0.76212574442988
"34",34,500,40,0.1,0.8,0.6,0.768762193765435
"35",35,1000,40,0.05,0.6,0.6,0.765470777376054
"36",36,50,40,0.01,0.8,0.6,0.717012213371489
"37",37,500,20,0.05,0.8,0.7,0.754923520383094
"38",38,50,30,0.01,0.8,0.8,0.69778267529013
"39",39,100,30,0.1,0.6,0.8,0.755310839987388
"40",40,500,20,0.05,0.6,0.6,0.759569755140387
"41",41,50,20,0.05,0.6,0.8,0.729305209448678
"42",42,500,20,0.1,0.8,0.6,0.748095811986741
"43",43,1000,20,0.01,0.8,0.8,0.760690101103221
"44",44,1000,40,0.05,0.7,0.7,0.757678771204548
"45",45,100,20,0.05,0.6,0.7,0.747587254944327
"46",46,50,30,0.05,0.7,0.7,0.735539534608287
"47",47,100,10,0.01,0.6,0.8,0.694977809147465
"48",48,50,20,0.05,0.7,0.6,0.738747325174014
"49",49,1000,20,0.05,0.7,0.6,0.762190564446301
"50",50,1000,30,0.05,0.7,0.6,0.7565528235119
"51",51,500,40,0.01,0.7,0.6,0.755494096577023
"52",52,50,40,0.1,0.8,0.6,0.75940650472866
"53",53,100,10,0.05,0.7,0.7,0.741336124595275
"54",54,50,10,0.05,0.7,0.8,0.723999971191104
"55",55,500,30,0.01,0.7,0.8,0.758843130758778
"56",56,1000,10,0.1,0.8,0.8,0.765834089566858
"57",57,100,20,0.01,0.6,0.8,0.696660328709505
"58",58,50,20,0.1,0.8,0.7,0.74651532393203
"59",59,50,30,0.1,0.6,0.6,0.744266229411642
"60",60,500,10,0.1,0.8,0.8,0.758331772851456
"61",61,1000,30,0.05,0.6,0.8,0.757351470133977
"62",62,500,40,0.05,0.7,0.7,0.758490221780486
"63",63,1000,40,0.01,0.6,0.6,0.760886161646717
"64",64,1000,10,0.05,0.8,0.6,0.757333864697419
"65",65,100,40,0.1,0.7,0.6,0.769099898048517
"66",66,100,20,0.05,0.8,0.7,0.747587254944327
"67",67,500,30,0.1,0.7,0.7,0.752159466843361
"68",68,100,20,0.1,0.7,0.6,0.750461342462552
"69",69,100,20,0.01,0.7,0.8,0.696660328709505
"70",70,500,20,0.1,0.6,0.6,0.748095811986741
"71",71,500,40,0.01,0.6,0.7,0.759304073097773
"72",72,1000,40,0.1,0.7,0.7,0.764086349864838
"73",73,50,10,0.05,0.7,0.7,0.713235447106066
"74",74,500,30,0.1,0.8,0.8,0.759068800445578
"75",75,100,10,0.1,0.6,0.6,0.734545627689831
"76",76,1000,10,0.01,0.6,0.6,0.759924264612912
"77",77,50,40,0.01,0.6,0.6,0.717012213371489
"78",78,50,10,0.01,0.8,0.8,0.693184855483373
"79",79,500,10,0.01,0.8,0.7,0.758565445009419
"80",80,1000,10,0.05,0.6,0.8,0.762390626225378
"81",81,100,20,0.1,0.8,0.7,0.74599716392422
"82",82,50,30,0.1,0.7,0.6,0.744266229411642
"83",83,50,30,0.05,0.6,0.6,0.731480281110807
"84",84,500,10,0.01,0.6,0.8,0.760240362223855
"85",85,100,40,0.1,0.8,0.7,0.756958148676311
"86",86,100,30,0.05,0.7,0.8,0.752417146414813
"87",87,50,30,0.05,0.8,0.6,0.731480281110807
"88",88,100,40,0.01,0.8,0.6,0.721199506407579
"89",89,100,40,0.01,0.6,0.7,0.72255672551684
"90",90,1000,40,0.01,0.7,0.6,0.760886161646717
"91",91,500,20,0.01,0.7,0.7,0.758818323098173
"92",92,500,10,0.05,0.7,0.6,0.752441153828302
"93",93,500,20,0.01,0.6,0.7,0.758818323098173
"94",94,500,40,0.1,0.6,0.8,0.755729369229218
"95",95,50,20,0.1,0.7,0.6,0.750048815074095
"96",96,50,20,0.05,0.6,0.7,0.729245991162071
"97",97,1000,20,0.1,0.8,0.6,0.751722531917856
"98",98,500,10,0.01,0.7,0.6,0.753569502262299
"99",99,100,30,0.05,0.7,0.6,0.747748904861821
"100",100,100,10,0.1,0.6,0.7,0.741680630978846
"101",101,1000,30,0.1,0.7,0.7,0.757379478783048
"102",102,100,10,0.01,0.8,0.6,0.697030843124357
"103",103,100,30,0.01,0.8,0.8,0.710427780098494
"104",104,100,20,0.05,0.7,0.7,0.747587254944327
"105",105,500,40,0.05,0.8,0.6,0.765075455300597
"106",106,1000,10,0.05,0.7,0.7,0.743956933901189
"107",107,100,40,0.05,0.6,0.7,0.750422530477411
"108",108,50,10,0.1,0.8,0.7,0.73447640631427
"109",109,100,40,0.01,0.6,0.8,0.723895939065984
"110",110,100,20,0.05,0.6,0.8,0.745766692754723
"111",111,1000,20,0.1,0.7,0.7,0.745453396008687
"112",112,100,10,0.05,0.7,0.8,0.750886273681313
"113",113,1000,20,0.1,0.8,0.7,0.745453396008687
"114",114,50,10,0.05,0.8,0.6,0.72956929099706
"115",115,500,30,0.01,0.8,0.6,0.760809337923551
"116",116,1000,10,0.01,0.7,0.8,0.761724820624609
"117",117,100,30,0.01,0.6,0.7,0.70708074653453
"118",118,100,20,0.01,0.8,0.6,0.707628915809202
"119",119,500,40,0.01,0.8,0.7,0.759304073097773
"120",120,1000,40,0.01,0.6,0.7,0.76151435563302
