"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.770866843681329
"2",750,4,0.01,20,0.784813550424371
"3",100,5,0.005,5,0.757581941303474
"4",100,3,0.01,20,0.742049144775907
"5",100,3,0.005,10,0.729872984777699
"6",500,6,0.005,15,0.784204562368859
"7",50,6,0.01,5,0.765249909171952
"8",500,6,0.01,20,0.77909578477834
"9",50,6,0.01,20,0.767765485982071
"10",250,4,0.005,20,0.763144058885384
"11",1000,5,0.01,10,0.787003026534594
"12",50,6,0.01,10,0.781280459405865
"13",50,5,0.01,20,0.759430912265708
"14",100,6,0.01,10,0.774506367566304
"15",750,5,0.01,15,0.7866157069303
"16",250,3,0.005,15,0.76056446230596
"17",1000,6,0.005,10,0.782911363028903
"18",100,3,0.01,5,0.727182954096225
"19",50,4,0.005,5,0.745178911247793
"20",250,6,0.01,20,0.775927206321312
"21",500,4,0.01,20,0.774383129510393
"22",100,6,0.005,20,0.782600467024217
"23",1000,3,0.01,10,0.778491598205526
"24",250,4,0.01,10,0.775124558463654
"25",1000,5,0.01,20,0.785032017887124
"26",50,4,0.005,15,0.770519136309292
"27",250,6,0.005,15,0.779209019745297
"28",500,3,0.01,10,0.77044591369815
"29",750,6,0.01,15,0.789866310716749
"30",100,4,0.01,5,0.778618037249903
"31",50,5,0.005,15,0.758368984342365
"32",1000,3,0.01,20,0.772165644751099
"33",500,3,0.01,20,0.769090295083122
"34",100,3,0.01,10,0.745066476527952
"35",750,6,0.005,5,0.784685510885762
"36",750,4,0.005,20,0.777466481649533
"37",750,3,0.005,10,0.765099462714086
"38",250,5,0.01,15,0.779134196639922
"39",1000,4,0.005,20,0.781814224232443
"40",500,4,0.01,5,0.778400370034267
"41",250,6,0.005,10,0.7740866379538
"42",100,4,0.01,20,0.773781343678928
"43",250,6,0.005,20,0.776614618594222
"44",250,5,0.005,10,0.778277532101913
"45",250,6,0.01,15,0.773136344503183
"46",50,3,0.005,15,0.760100719102059
"47",1000,4,0.01,20,0.782345588317673
"48",100,5,0.01,5,0.776770266658344
"49",250,6,0.005,5,0.780779104587497
"50",750,5,0.01,5,0.787135867555901
"51",100,5,0.01,20,0.768046372719896
"52",1000,4,0.005,10,0.782494434281306
"53",500,5,0.005,5,0.784034109733086
"54",100,6,0.005,15,0.782113516653943
"55",500,6,0.01,10,0.774453551256628
"56",1000,3,0.005,5,0.762631500607388
"57",100,5,0.01,10,0.78656369086774
"58",500,5,0.01,15,0.781275657923167
"59",250,5,0.01,5,0.77692071311621
"60",500,5,0.01,20,0.783366703638083
"61",100,6,0.01,20,0.777082363033705
"62",250,5,0.01,20,0.783452330079529
"63",500,3,0.005,5,0.767285737835844
"64",50,5,0.005,5,0.770701992775369
"65",100,4,0.005,20,0.77612926871818
"66",50,5,0.01,15,0.765117468274203
"67",50,6,0.005,15,0.762525467864477
"68",50,3,0.01,5,0.72641431674101
"69",500,3,0.005,10,0.764495276141272
"70",500,6,0.005,5,0.779621547133755
"71",750,5,0.01,10,0.781374888565589
"72",50,6,0.005,20,0.774720033546359
"73",100,5,0.005,15,0.767262530669471
"74",750,3,0.01,15,0.773921386924282
"75",250,5,0.01,10,0.777091165751984
"76",750,4,0.01,5,0.78103638403539
"77",500,5,0.01,5,0.781478920690709
"78",500,5,0.005,15,0.785068829254474
"79",1000,3,0.01,5,0.775638717235882
"80",1000,4,0.005,5,0.77666063280341
"81",50,4,0.01,5,0.757109795504852
"82",1000,6,0.005,15,0.782620873325683
"83",1000,5,0.005,15,0.781874242766166
"84",500,5,0.005,10,0.782514440459214
"85",250,4,0.01,20,0.775841579879867
"86",750,5,0.01,20,0.788479482464185
"87",250,6,0.01,10,0.782697296925291
"88",1000,6,0.01,10,0.783537156273857
"89",750,6,0.005,10,0.781246849026979
"90",50,6,0.005,10,0.77885931175547
"91",100,5,0.005,20,0.767953544054404
"92",50,4,0.01,10,0.787245101287278
"93",50,5,0.01,10,0.778281533337495
"94",50,5,0.01,5,0.752944109140903
"95",100,4,0.005,5,0.771150531284061
"96",250,3,0.005,10,0.755454484344766
"97",1000,6,0.01,20,0.787402349845632
"98",1000,4,0.01,15,0.781791817313186
"99",250,4,0.005,15,0.771270968475065
"100",50,5,0.005,20,0.743942929576653
"101",1000,3,0.005,20,0.773517262130546
"102",1000,4,0.01,10,0.783365903390967
"103",500,6,0.01,5,0.784887973406188
"104",750,5,0.005,5,0.782283969289717
"105",100,5,0.005,10,0.760793332981225
"106",500,6,0.01,15,0.78297938403379
"107",1000,3,0.005,10,0.769013471359956
"108",500,6,0.005,20,0.779537521186542
"109",750,3,0.005,15,0.765449170703913
"110",1000,6,0.005,5,0.786137159154747
"111",750,5,0.005,20,0.782562455286192
"112",100,3,0.005,20,0.770687988450834
"113",1000,3,0.005,15,0.773027510895364
"114",50,4,0.01,20,0.741511778837305
"115",50,3,0.01,15,0.771168536844178
"116",500,4,0.01,10,0.781911054133516
"117",250,3,0.01,5,0.764909404023963
"118",1000,5,0.01,5,0.783213056191752
"119",750,3,0.005,5,0.770141019546836
"120",500,6,0.005,10,0.778695661220185
